Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,08/30/2022,"COMN CAP APY F1  AUTO PAY   P22241113727056 WEB ID: 1651180275",-49.70,ACH_DEBIT, ,,
DEBIT,08/30/2022,"HUNTINGTON BANKS IL PAYMENT 20060879691     WEB ID: 9000044231",-358.07,ACH_DEBIT, ,,
DEBIT,08/30/2022,"VENMO            PAYMENT    1022050056735   WEB ID: 3264681992",-17.25,MISC_DEBIT, ,,
DEBIT,08/24/2022,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-1617.72,ACH_DEBIT, ,,
DEBIT,08/24/2022,"Zelle payment to Vedanta Pitt New JPM999fex1o2",-100.00,CHASE_TO_PARTNERFI, ,,
DEBIT,08/22/2022,"MOON TWP MUNICIP DIRECT DB                  PPD ID: 9642300001",-299.25,ACH_DEBIT, ,,
DEBIT,08/16/2022,"1ST BANKCARD CTR ONLINE PMT 3D100F565AFD94  WEB ID: 8104000010",-444.41,ACH_DEBIT, ,,
DEBIT,08/16/2022,"TARGET CARD SRVC BILL PAY   000000007028807 WEB ID: T510215170",-32.20,ACH_DEBIT, ,,
DEBIT,08/12/2022,"Zelle payment to Hari Bhai JPM999ezm2bv",-25.00,CHASE_TO_PARTNERFI, ,,
CHECK,08/10/2022,"CHECK 1069  ",-300.00,CHECK_PAID, ,1069,
DEBIT,08/05/2022,"Zelle payment to Tejas 14977124220",-75.00,QUICKPAY_DEBIT, ,,
DEBIT,08/05/2022,"VENMO            PAYMENT    1021608994512   WEB ID: 3264681992",-75.00,MISC_DEBIT, ,,
DEBIT,08/03/2022,"1ST BANKCARD CTR ONLINE PMT 3D100F565AFD94  WEB ID: 8104000010",-398.31,ACH_DEBIT, ,,
DEBIT,08/03/2022,"BEST BUY         PAYMENT    630816963146304 WEB ID: CITICTP",-378.75,ACH_DEBIT, ,,
DEBIT,08/02/2022,"HOME DEPOT       AUTO PYMT  720789593430215 WEB ID: CITIAUTFDR",-18.11,ACH_DEBIT, ,,
DEBIT,08/01/2022,"HUNTINGTON BANKS IL PAYMENT 20060879691     WEB ID: 9000044231",-358.07,ACH_DEBIT, ,,
DEBIT,07/29/2022,"COMN CAP APY F1  AUTO PAY                   PPD ID: 1651180275",-134.15,ACH_DEBIT, ,,
DEBIT,07/25/2022,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-2176.36,ACH_DEBIT, ,,
DEBIT,07/25/2022,"VENMO            PAYMENT    1021398705689   WEB ID: 3264681992",-34.50,MISC_DEBIT, ,,
DEBIT,07/18/2022,"VENMO            PAYMENT    1021233510378   WEB ID: 3264681992",-56.00,MISC_DEBIT, ,,
DEBIT,07/14/2022,"LOWES            PAYMENT    798192739008376 WEB ID: 9069872000",-256.25,ACH_DEBIT, ,,
DEBIT,07/05/2022,"HOME DEPOT       AUTO PYMT  720763673150458 WEB ID: CITIAUTFDR",-6.71,ACH_DEBIT, ,,
DEBIT,07/05/2022,"SCOREREWARDS     PAYMENT    524364102765422 WEB ID: 9130142001",-225.03,ACH_DEBIT, ,,
DEBIT,06/30/2022,"HUNTINGTON BANKS IL PAYMENT 20060879691     WEB ID: 9000044231",-358.07,ACH_DEBIT, ,,
DEBIT,06/29/2022,"COMN CAP APY F1  AUTO PAY                   PPD ID: 1651180275",-89.45,ACH_DEBIT, ,,
DEBIT,06/24/2022,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-2567.53,ACH_DEBIT, ,,
DEBIT,06/14/2022,"LOWES            PAYMENT    798192739008376 WEB ID: 9069872000",-215.65,ACH_DEBIT, ,,
DEBIT,06/02/2022,"HOME DEPOT       AUTO PYMT  720736889060080 WEB ID: CITIAUTFDR",-27.20,ACH_DEBIT, ,,
DEBIT,06/01/2022,"COMENITY PAY BH  WEB PYMT   P22148896097857 WEB ID: 1651180275",-182.67,ACH_DEBIT, ,,
DEBIT,05/31/2022,"HUNTINGTON BANKS IL PAYMENT 20060879691     WEB ID: 9000044231",-358.07,ACH_DEBIT, ,,
CHECK,05/26/2022,"CHECK 1068  ",-375.00,CHECK_PAID, ,1068,
DEBIT,05/24/2022,"STATE FARM RO 08 CPC-CLIENT 13 S 1284956913 WEB ID: 9000313004",-151.56,ACH_DEBIT, ,,
DEBIT,05/24/2022,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-4424.13,ACH_DEBIT, ,,
DEBIT,05/20/2022,"MOON TWP MUNICIP DIRECT DB                  PPD ID: 9642300001",-212.25,ACH_DEBIT, ,,
DEBIT,05/13/2022,"LOWES            PAYMENT    798192739008376 WEB ID: 9069872000",-78.91,ACH_DEBIT, ,,
DEBIT,05/11/2022,"HOME DEPOT       ONLINE PMT 610744241953502 WEB ID: CITICTP",-77.82,ACH_DEBIT, ,,
DEBIT,05/02/2022,"HUNTINGTON BANKS IL PAYMENT 20060879691     WEB ID: 9000044231",-358.07,ACH_DEBIT, ,,
DEBIT,05/02/2022,"HOME DEPOT       AUTO PYMT  720710969280142 WEB ID: CITIAUTFDR",-38.08,ACH_DEBIT, ,,
DEBIT,04/29/2022,"COMENITY PAY BH  WEB PYMT   P22118890759242 WEB ID: 1651180275",-24.72,ACH_DEBIT, ,,
DEBIT,04/25/2022,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-1329.50,ACH_DEBIT, ,,
